company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
16682664,SS BUILD GROUP LTD,M46 0GH,27 DESMOND STREET / ATHERTON / MANCHESTER,41100 - Development of building projects,NO ACCOUNTS FILED,29/08/2025,unknown
SL009757,SEA SHIPPING INTER LP,ML11 0QW,SUITE 1 / 44 MAIN STREET / DOUGLAS,None Supplied,NO ACCOUNTS FILED,19/10/2011,unknown
SC852572,AI MEDIA SERVICES LTD,G2 4JR,272 BATH STREET / GLASGOW,58190 - Other publishing activities,NO ACCOUNTS FILED,17/06/2025,unknown
CS003763,THE SOCIETY OF CHIEF OFFICERS OF ENVIRONMENTAL HEALTH IN SCOTLAND,,,None Supplied,NO ACCOUNTS FILED,07/01/2019,unknown
16582359,AUDACIOUS STRATEGIES LTD,SW11 2UT,9 TAKHAR MEWS / LONDON,73110 - Advertising agencies,NO ACCOUNTS FILED,15/07/2025,unknown
OE029356,ROSEN EUROPE B.V.,7575EJ,15 ZUTPHENSTRAAT / OLDENZAAL,None Supplied,NO ACCOUNTS FILED,18/04/2023,unknown
16449080,CARBON AUTO SALES LTD,WF13 2BD,2B COMMERCIAL ROAD / DEWSBURY,45112 - Sale of used cars and light motor vehicles,NO ACCOUNTS FILED,14/05/2025,unknown
16428550,LEIZO LONDON LIMITED,IG11 7ZW,FLAT 1303 3 BARKING WHARF SQUARE / BARKING,"15120 - Manufacture of luggage, handbags and the like, saddlery and harness",NO ACCOUNTS FILED,04/05/2025,unknown
16176345,THE COPPER LEAF HEATING COMPANY LTD,BN15 8PQ,40 CHESTER AVENUE / LANCING,"43220 - Plumbing, heat and air-conditioning installation",NO ACCOUNTS FILED,10/01/2025,unknown
SL029920,SL029920 LP,ML11 0QW,2 SUITE 44 MAIN STREET / DOUGLAS / SOUTH LANARKSHIRE,None Supplied,NO ACCOUNTS FILED,17/01/2017,unknown
16472633,TEW ELECTRICAL LTD,L4 6SF,85 QUEENS DRIVE / LIVERPOOL,43210 - Electrical installation,NO ACCOUNTS FILED,23/05/2025,unknown
LP006829,SIAS ENGINEERING SERVICES LIMITED PARTNERSHIP,BD21 1AQ,UNIT 4 KNOWLE SPRING INDUSTRIAL / ESTATE SOUTH STREET / KEIGHLEY,None Supplied,NO ACCOUNTS FILED,29/03/2000,unknown
16561034,VENTRA AQUA LTD,RM6 6AX,321-323 HIGH ROAD / OFFICE 8251 / ROMFORD,47910 - Retail sale via mail order houses or via Internet,NO ACCOUNTS FILED,05/07/2025,unknown
16333354,TWS DIGITAL LIMITED,CT15 6BX,21 THE DROVEWAY / ST. MARGARETS BAY / DOVER,47910 - Retail sale via mail order houses or via Internet,NO ACCOUNTS FILED,21/03/2025,unknown
16535942,NEX PROPERTY PARTNERS LTD,BD1 4PS,33 MANOR ROW / BRADFORD,99999 - Dormant Company,NO ACCOUNTS FILED,23/06/2025,unknown
16483747,BURNSIDE LOGISTICS NORTH EAST LTD,DL17 8DP,10 HAWTHORNE ROAD / FERRYHILL,49410 - Freight transport by road,NO ACCOUNTS FILED,29/05/2025,unknown
AC001556,METROPOLITAN REINSURANCE COMPANY (UK) LIMITED,,,None Supplied,NO ACCOUNTS FILED,01/01/1900,unknown
16719437,BOOK MY STAY LIMITED,SS9 2HA,55 RECTORY GROVE / LEIGH-ON-SEA,79901 - Activities of tourist guides,NO ACCOUNTS FILED,15/09/2025,unknown
16093137,STRONGHOLD HOMES (SG) LIMITED,B77 5DE,ELECTRIC HOUSE NINIAN WAY / WILNECOTE / TAMWORTH,41100 - Development of building projects,NO ACCOUNTS FILED,21/11/2024,unknown
16364499,VKS HOSPITALITY LTD,EC1V 2NX,128 CITY ROAD / LONDON,56101 - Licensed restaurants,NO ACCOUNTS FILED,04/04/2025,unknown
16623793,SB ROTORWORKS LTD,GU14 6JT,42 SHERBORNE ROAD / FARNBOROUGH,33160 - Repair and maintenance of aircraft and spacecraft,NO ACCOUNTS FILED,02/08/2025,unknown
16594605,SOUTH WALES BOTTLED GAS LTD,CF39 0PB,UNIT 2 TRANSPORT YARD / ABERLLECHAU ROAD / WATTSTOWN,47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),NO ACCOUNTS FILED,21/07/2025,unknown
SC831613,GB TUITION LTD,AB10 7AD,8 INCHBRAE ROAD / ABERDEEN,85510 - Sports and recreation education,NO ACCOUNTS FILED,11/12/2024,unknown
16574671,SHERKUS SECURITY CONSULTING LIMITED,EC1V 2NX,128 CITY ROAD / LONDON,62020 - Information technology consultancy activities,NO ACCOUNTS FILED,10/07/2025,unknown
16169390,ON THE BUSINESS LTD,M4 7ED,APARTMENT 92 / 1 ISAAC WAY / MANCHESTER,62012 - Business and domestic software development,NO ACCOUNTS FILED,07/01/2025,unknown
CS000869,THE BENZIES FOUNDATION,,,None Supplied,NO ACCOUNTS FILED,14/06/2012,unknown
16727816,M.R.H. MINERALS (NO 2) LIMITED,CA1 1PN,6 BRUNSWICK STREET / CARLISLE,68209 - Other letting and operating of own or leased real estate,NO ACCOUNTS FILED,18/09/2025,unknown
16308791,DABT PROPERTY LTD,HP18 0PA,12 RAVEN CRESCENT / WESTCOTT / AYLESBURY,68209 - Other letting and operating of own or leased real estate,NO ACCOUNTS FILED,11/03/2025,unknown
OE018355,JD INVESTMENT GROWTH INC.,72201,3RD FLOOR EBENE ESPLANADE / 24 CYBERCITY / EBENE,None Supplied,NO ACCOUNTS FILED,26/01/2023,unknown
16426134,AGROCHECKOUT LIMITED,TW7 4LP,19 THE BROOKLANDS / EVERSLEY CRESCENT / ISLEWORTH,47210 - Retail sale of fruit and vegetables in specialised stores,NO ACCOUNTS FILED,02/05/2025,unknown
16351453,CSJ ROOFING LTD,RM16 6PY,16 CAMDEN ROAD / CHAFFORD HUNDRED / GRAYS,43910 - Roofing activities,NO ACCOUNTS FILED,28/03/2025,unknown
16131835,SSA CAPITAL LTD,PE1 2PH,285A LINCOLN ROAD / PETERBOROUGH,68100 - Buying and selling of own real estate,NO ACCOUNTS FILED,12/12/2024,unknown
16649093,RMDEEP LTD,TW3 3SY,23 WELLINGTON AVENUE / HOUNSLOW,43110 - Demolition,NO ACCOUNTS FILED,13/08/2025,unknown
SC862915,NEUROWIRE LIMITED,G31 2RU,1/2 3 MEADOWPARK STREET / GLASGOW,62012 - Business and domestic software development,NO ACCOUNTS FILED,16/09/2025,unknown
16457389,PAYTIX LTD,N16 6EP,35 DARENTH ROAD / LONDON,69202 - Bookkeeping activities,NO ACCOUNTS FILED,19/05/2025,unknown
16142002,STEPS AND LADDERS LIMITED,PE3 6JH,16 JUBILEE MANSIONS / 119 THORPE ROAD / PETERBOROUGH,81229 - Other building and industrial cleaning activities,NO ACCOUNTS FILED,18/12/2024,unknown
16741818,EXCELLENCE STAR LTD,L9 7AT,BIGPADLOCK / DAIRY BUSINESS PARK / LIVERPOOL,78200 - Temporary employment agency activities,NO ACCOUNTS FILED,25/09/2025,unknown
SC843135,MACINNES LIFTING SERVICES LTD,ML1 3JE,1 ORCHARD STREET / MOTHERWELL,43999 - Other specialised construction activities n.e.c.,NO ACCOUNTS FILED,28/03/2025,unknown
16376259,CWF FITTING SERVICES LTD,WN4 0AS,5 ELDON GARDENS / ASHTON-IN-MAKERFIELD / WIGAN,43330 - Floor and wall covering,NO ACCOUNTS FILED,09/04/2025,unknown
16294421,LEELA SR LTD,BR1 2HL,135 BLACKBROOK LANE / LONDON,96090 - Other service activities n.e.c.,NO ACCOUNTS FILED,05/03/2025,unknown
16367805,BHF WELDING & FABRICATION LTD,YO7 1GZ,1 THE SQUIRES / CHAPEL STREET / THIRSK,33110 - Repair of fabricated metal products,NO ACCOUNTS FILED,06/04/2025,unknown
CE000771,LYME GREEN SETTLEMENT CIO,,,None Supplied,NO ACCOUNTS FILED,06/02/2014,unknown
SL018734,HARTLAND CORPORATION LP,EH12 5LA,42B HAYMARKET TERRACE / EDINBURGH,None Supplied,NO ACCOUNTS FILED,14/11/2014,unknown
16353103,HOLME COURT 37-56 MILL HOUSE RTM COMPANY LIMITED,BR1 1LR,9TH FLOOR / 26 ELMFIELD ROAD / BROMLEY,68320 - Management of real estate on a fee or contract basis,NO ACCOUNTS FILED,31/03/2025,unknown
16364111,VIOLETA SUGARING LTD,CB9 9AY,2 DUNSTER DRIVE / HAVERHILL,46450 - Wholesale of perfume and cosmetics,NO ACCOUNTS FILED,03/04/2025,unknown
