company_number,company_name,postcode,address,sic,account_category,incorporation_date,group
16710931,MOBILE LASER CLEANING 3000 LTD,S71 3RR,3 GREENFIELD GARDENS / BARNSLEY,81210 - General cleaning of buildings,NO ACCOUNTS FILED,11/09/2025,unknown
SL006605,PARTNERS GROUP ACCESS 97 L.P.,EH3 9WJ,50 LOTHIAN ROAD / FESTIVAL SQUARE / EDINBURGH,None Supplied,NO ACCOUNTS FILED,18/06/2008,unknown
CE007101,ROTHERHAM EVANGELICAL CHURCH,,,None Supplied,NO ACCOUNTS FILED,21/07/2016,unknown
CE017554,AUTISM PARENTS TOGETHER (TEES VALLEY),,,None Supplied,NO ACCOUNTS FILED,20/05/2019,unknown
OE010429,SANKE PROPERTIES LIMITED,JE2 3NS,9 HOPE STREET / ST HELIER,None Supplied,NO ACCOUNTS FILED,29/12/2022,unknown
SL026738,JANTE ONE LP,EH5 1BN,39/5 GRANTON CRESCENT / EDINBURGH,None Supplied,NO ACCOUNTS FILED,13/05/2016,unknown
16325900,BTPM1 LTD,WC2A 2JR,7 BELL YARD / LONDON,68100 - Buying and selling of own real estate,NO ACCOUNTS FILED,19/03/2025,unknown
16687187,KKD SERVICES LTD,HA2 0EN,FLAT 15 KRISSH HOUSE 180-188 / NORTHOLT ROAD / HARROW,96020 - Hairdressing and other beauty treatment,NO ACCOUNTS FILED,01/09/2025,unknown
16129091,HFL CONSULT LIMITED,BL1 1PZ,5 CANON COURT / INSTITUTE STREET / BOLTON,70229 - Management consultancy activities other than financial management,NO ACCOUNTS FILED,10/12/2024,unknown
16283726,COLLABORATIVE PRODUCT REALISATION LIMITED,LE4 9LJ,31 HIGH VIEW CLOSE / HAMILTON OFFICE PARK / LEICESTER,70229 - Management consultancy activities other than financial management,NO ACCOUNTS FILED,28/02/2025,unknown
OE014363,P A C REAL ESTATE L.L.C,,75 9F-A-02-16 / EMPIRE HEIGHTS A / BUSINESS BAY,None Supplied,NO ACCOUNTS FILED,18/01/2023,unknown
LP020936,COACH HOUSE SETTLEMENT (NO 4) LIMITED PARTNERSHIP,SO21 2NR,WHITE HOUSE CHURCH LANE / SPARSHOLT / WINCHESTER,None Supplied,NO ACCOUNTS FILED,13/03/2020,unknown
